"maxCores","numClusters","trainMilliSec","sparseProportion","dimension","rows","numPartitions"
160,20,137819,1.0,10000,100000,160
160,20,67952,0.5,10000,100000,160
160,20,45089,0.2,10000,100000,160
160,20,44942,0.1,10000,100000,160
160,20,70406,0.01,10000,100000,160
160,20,72048,0.001,10000,100000,160
160,20,412930,1.0,10000,500000,160
160,20,220286,0.5,10000,500000,160
160,20,123754,0.2,10000,500000,160
160,20,120261,0.1,10000,500000,160
160,20,204311,0.01,10000,500000,160
160,20,222223,0.001,10000,500000,160
